iter	Passed	Remaining
868	6478708	976652
869	6483317	968771
870	6487193	960789
871	6491465	952875
872	6495525	944939
873	6498930	936916
874	6503370	929052
875	6507320	921127
876	6511332	913220
877	6514943	905265
878	6519204	897410
879	6522724	889462
880	6526795	881598
881	6531375	873812
882	6535300	865945
883	6539156	858079
884	6543189	850244
885	6547788	842491
886	6550859	834551
887	6554752	826725
888	6558422	818880
889	6562918	811147
890	6566586	803319
891	6569756	795441
892	6574329	787741
893	6577664	779902
894	6581957	772184
895	6584857	764313
896	6589306	756631
897	6591911	748747
898	6596613	741110
899	6599597	733288
900	6603912	725624
901	6607568	717895
902	6611762	710233
903	6616133	702598
904	6619223	694835
905	6623696	687226
906	6632243	680042
907	6657471	674545
908	6663163	667049
909	6667563	659429
910	6669926	651617
911	6674853	644064
912	6678168	636364
913	6682224	628743
914	6685013	621012
915	6689522	613449
916	6692895	605790
917	6716729	599969
918	6745078	594506
919	6773866	589031
920	6801610	583417
921	6830172	577823
922	6861014	572370
923	6891127	566802
924	6919052	561004
925	6949362	555348
926	6976330	549376
927	7004399	543444
928	7034752	537639
929	7063690	531675
930	7091850	525604
931	7124164	519788
932	7153272	513686
933	7183978	507647
934	7209439	501190
935	7235580	494740
936	7242831	486977
937	7247130	479021
938	7250072	470984
939	7255231	463099
940	7258227	455085
941	7262786	447177
942	7266133	439204
943	7269676	431251
944	7275215	423425
945	7309192	417226
946	7340665	410829
947	7367365	404117
948	7400143	397689
949	7436456	391392
950	7468113	384792
951	7498947	378098
952	7529746	371351
953	7562252	364636
954	7592024	357739
955	7623560	350875
956	7655257	343966
957	7683003	336833
958	7711749	329699
959	7743676	322653
960	7773190	315457
961	7802424	308203
962	7835074	301036
963	7866808	293781
964	7898418	286471
965	7930322	279121
966	7961833	271706
967	7991863	264193
968	8024908	256730
969	8052138	249035
970	8082182	241383
971	8113121	233711
972	8152526	226226
973	8191684	218669
974	8231702	211069
975	8264887	203234
976	8304660	195503
977	8346873	187761
978	8381871	179794
979	8418565	171807
980	8452737	163712
981	8490530	155630
982	8527952	147482
983	8563823	139249
984	8598909	130947
985	8630212	122538
986	8663123	114103
987	8698905	105654
988	8731955	97119
989	8766361	88549
990	8795596	79879
991	8797811	70950
992	8802432	62051
993	8807001	53160
994	8811006	44276
995	8815522	35403
996	8818716	26535
997	8823816	17682
998	8826830	8835
999	8830668	0
